amount,from_user_id,to_user_id,from_name,to_name,created_at
958.45,7,4,Hannah,Eva,1999-07-07 12:55:23
138.07,1,1,Bob,Bob,1999-02-12 17:59:27
215.60,20,18,Alice,Steve,1999-11-12 14:55:20
344.59,16,2,Quinn,Charlie,1999-12-15 12:53:20
866.06,5,14,Frank,Oscar,1999-07-14 23:38:27
53.89,13,14,Nora,Oscar,1999-04-10 12:43:29
283.46,16,1,Quinn,Bob,1999-01-22 18:48:04
214.75,3,6,David,Grace,1999-06-13 15:22:19
824.48,17,13,Rachel,Nora,1999-01-18 03:11:00
924.88,17,19,Rachel,Tina,1999-12-14 06:57:37
794.86,2,8,Charlie,Ivan,1999-01-20 16:24:57
297.37,10,12,Kyle,Mia,1999-10-23 02:23:29
116.36,18,2,Steve,Charlie,1999-05-18 06:11:29
411.52,6,18,Grace,Steve,1999-08-10 08:25:04
494.19,14,9,Oscar,Julia,1999-07-20 17:32:50
285.35,15,9,Paul,Julia,1999-02-04 01:23:35
735.02,10,16,Kyle,Quinn,1999-10-05 21:01:27
527.90,7,14,Hannah,Oscar,1999-11-08 11:46:15
826.31,13,15,Nora,Paul,1999-03-07 06:51:54
651.24,11,18,Lily,Steve,1999-10-07 15:03:17
662.21,7,1,Hannah,Bob,1999-09-25 20:39:23
523.58,9,14,Julia,Oscar,1999-04-08 12:35:02
698.80,11,7,Lily,Hannah,1999-07-25 09:17:21
731.05,3,2,David,Charlie,1999-01-22 06:26:42
895.95,3,6,David,Grace,1999-01-28 12:56:16
461.47,14,1,Oscar,Bob,1999-07-29 06:51:58
383.71,8,9,Ivan,Julia,1999-04-21 17:57:49
895.14,8,10,Ivan,Kyle,1999-09-24 16:49:50
443.74,7,18,Hannah,Steve,1999-11-06 00:33:28
806.24,16,14,Quinn,Oscar,1999-12-08 15:06:59
334.69,8,10,Ivan,Kyle,1999-10-02 02:36:28
545.52,20,14,Alice,Oscar,1999-06-13 00:24:27
842.04,11,13,Lily,Nora,1999-05-08 22:27:22
695.69,10,16,Kyle,Quinn,1999-01-27 22:08:59
123.92,12,7,Mia,Hannah,1999-09-05 10:26:43
614.83,12,10,Mia,Kyle,1999-03-22 17:41:23
823.30,20,12,Alice,Mia,1999-06-30 20:18:00
520.95,10,6,Kyle,Grace,1999-05-08 18:05:18
911.24,19,2,Tina,Charlie,1999-07-01 12:22:08
502.51,4,14,Eva,Oscar,1999-02-20 05:04:21
764.59,11,1,Lily,Bob,1999-05-18 09:06:10
824.14,20,11,Alice,Lily,1999-01-22 06:12:42
880.27,11,10,Lily,Kyle,1999-08-15 02:39:10
997.79,9,20,Julia,Alice,1999-09-21 17:27:03
842.02,9,1,Julia,Bob,1999-02-13 12:41:12
394.82,15,17,Paul,Rachel,1999-04-22 18:30:16
402.67,15,18,Paul,Steve,1999-07-08 02:32:59
219.55,2,11,Charlie,Lily,1999-06-24 07:32:20
205.35,19,14,Tina,Oscar,1999-11-16 01:42:42
827.49,10,7,Kyle,Hannah,1999-09-02 00:01:32
318.51,1,4,Bob,Eva,1999-08-14 10:26:16
181.54,2,11,Charlie,Lily,1999-01-03 18:25:59
