amount,from_user_id,to_user_id,from_name,to_name,created_at
577.86,1,3,Lily,Umar,2016-12-17 21:49:28
978.1,9,8,Charlie,Yusuf,2016-07-25 19:20:19
91.25,8,10,Bob,Tina,2016-02-27 19:02:13
403.93,4,3,Nora,Diana,2016-06-24 23:54:35
874.18,6,7,Bob,Rachel,2016-09-27 20:27:45
407.04,4,1,Umar,Michael,2016-06-19 15:47:49
722.67,3,5,Charlie,Oscar,2016-09-09 15:46:28
428.34,6,8,Zoe,Julia,2016-03-11 06:12:45
895.38,6,3,Michael,Charlie,2016-12-12 19:53:11
407.39,8,1,Diana,George,2016-07-29 06:17:03
484.81,6,3,Alice,Xena,2016-02-07 21:00:25
705.82,10,9,Steve,Ian,2016-02-03 01:35:41
14.2,4,9,Quincy,Oscar,2016-04-09 20:31:55
260.1,8,4,Xena,Charlie,2016-09-19 00:43:27
648.18,7,3,William,Michael,2016-02-13 04:40:12
721.47,10,5,George,Lily,2016-08-30 14:26:09
521.87,1,2,Zoe,Alice,2016-12-30 15:56:13
797.27,9,4,Fiona,Hannah,2016-03-03 12:47:05
346.99,6,2,Fiona,Violet,2016-11-29 00:13:23
895.28,10,5,Julia,Fiona,2016-09-10 06:22:08
91.23,1,7,Xena,Fiona,2016-04-06 01:18:08
45.95,9,3,Oscar,Julia,2016-03-04 09:11:28
131.45,2,9,Rachel,Alice,2016-10-01 23:29:13
480.53,3,4,Nora,Alice,2016-09-27 10:22:06
955.69,5,4,Violet,Tina,2016-07-22 00:32:07
23.11,1,4,Hannah,Violet,2016-06-17 05:25:54
442.99,3,10,Kevin,Quincy,2016-03-01 06:57:25
203.2,6,7,Kevin,Quincy,2016-07-02 11:50:56
795.02,5,1,Charlie,Tina,2016-02-28 15:29:32
993.78,8,9,Penny,Michael,2016-02-15 12:48:03
245.07,2,6,Steve,Oscar,2016-03-30 14:47:21
694.03,7,5,Quincy,Hannah,2016-05-20 03:02:58
427.39,7,10,Fiona,Julia,2016-06-01 15:31:01
